Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country,ID
326838199,164926348,161911851,11.6,8.678,12,19.87000084,1.370000005,0.75999999,8.779999733,3.900000095,2.05E+13,1.833049714,2.90E+11,1.86E+11,10318.04167,10.12,89.28966179,2018,USA,1
325122128,164151818,160970309,11.8,8.638,12,19.72999954,1.429999948,0.75,8.710000038,4.360000134,1.95E+13,2.135013913,2.93E+11,1.84E+11,10318.04167,9.92,89.28966179,2017,USA,2
323071755,163224028,159847727,12.2,8.493,12,19.78000069,1.429999948,0.769999981,8.710000038,4.869999886,1.87E+13,-0.111701136,2.32E+11,1.76E+11,10318.04167,9.46,89.28966179,2016,USA,3
320738994,162158414,158580581,12.4,8.44,12,19.86000061,1.440000057,0.75999999,8.829999924,5.28000021,1.82E+13,3.21435124,2.20E+11,1.88E+11,10318.04167,9.03,82.42782825,2015,USA,4
318386329,161084758,157301571,12.5,8.237,12,19.97999954,1.350000024,0.699999988,8.859999657,6.170000076,1.76E+13,2.182302146,2.35E+11,2.06E+11,12993.96558,9.22,83.08904242,2014,USA,5
316059947,160034189,156025758,12.4,8.215,12,19.95000076,1.320000052,0.670000017,8.819999695,7.369999886,1.68E+13,0.577814878,2.30E+11,2.23E+11,13004.02357,9.08,82.94050969,2013,USA,6
313877662,159064447,154813215,12.6,8.102,12,19.73999977,1.379999995,0.75999999,8.75,8.069999695,1.63E+13,2.841030343,2.33E+11,1.87E+11,12964.18794,8.73,83.43717762,2012,USA,7
311583481,158043988,153539494,12.7,8.073,12,19.70999908,1.450000048,0.769999981,8.720000267,8.949999809,1.56E+13,1.447534277,2.38E+11,1.87E+11,13245.88193,8.36,83.71405277,2011,USA,8
309327143,156968302,152358841,13,7.995,12,19.63999939,1.419999957,0.74000001,8.460000038,9.630000114,1.50E+13,3.876570077,2.06E+11,1.55E+11,13394.90276,7.44,84.15058807,2010,USA,9
306771529,155660194,151111335,13.5,7.9,12,20,1.350000024,0.680000007,8.659999847,9.25,1.45E+13,-2.049225192,1.50E+11,1.39E+11,12913.71469,7.35,84.15425372,2009,USA,10
304093966,154289840,149804127,14,8.1,12,21.45999908,1.340000033,0.689999998,9.600000381,5.78000021,1.48E+13,-4.039319727,1.45E+11,1.56E+11,13663.42797,6.85,84.96822169,2008,USA,11
301231207,152829130,148402076,14.3,8,12,22.13999939,1.289999962,0.649999976,10.06000042,4.619999886,1.45E+13,-0.539327975,95664000000,1.56E+11,13657.45283,6.3,85.61470518,2007,USA,12
298379912,151383683,146996229,14.3,8.1,12,22.35000038,1.389999986,0.74000001,10.05000019,4.619999886,1.38E+13,2.492191128,46460000000,1.39E+11,13583.26696,6.4,85.62647253,2006,USA,13
295516599,149946323,145570277,14,8.3,12,22.26000023,1.409999967,0.75,10.25,5.079999924,1.30E+13,2.508672596,74800000000,1.50E+11,13704.57705,5.84,86.01853539,2005,USA,14
292805298,148594732,144210567,14,8.2,12,22.38999939,1.470000029,0.779999971,10.44999981,5.53000021,1.22E+13,2.977066146,76713000000,1.55E+11,13388.58971,5.48,86.12431287,2004,USA,15
290107933,147242226,142865707,14.1,8.4,12,22.45000076,1.5,0.810000002,10.76000023,5.989999771,1.15E+13,0.223322899,58496000000,1.28E+11,13307.49201,5.33,86.27838541,2003,USA,16
287625193,145972802,141652391,14,8.5,12,22.75,1.539999962,0.839999974,10.96000004,5.78000021,1.09E+13,1.704822608,45794000000,1.06E+11,13296.1823,4.84,86.24908436,2002,USA,17
284968955,144625822,140343133,14.1,8.5,12,23.73999977,1.529999971,0.829999983,11.89000034,4.730000019,1.06E+13,-0.211133667,50364000000,1.19E+11,13046.61415,4.68,86.34598091,2001,USA,18
282162411,143251716,138910694,14.4,8.5,12,24.44000053,1.629999995,0.860000014,12.71000004,3.99000001,1.03E+13,2.856487952,38481000000,1.18E+11,13671.05202,5.43,85.88083054,2000,USA,19
279040000,141757600,137282400,14.2,8.6,12,24.69000053,1.679999948,0.899999976,13.02000046,4.21999979,9.63E+12,2.897229033,30904000000,1.11E+11,13281.86998,5.709726593,85.78460105,1999,USA,20
275854000,140236332,135617667,14.3,8.6,12,24.92000008,1.720000029,0.920000017,13.31999969,4.510000229,9.06E+12,4.736553526,17411000000,1.10E+11,13154.76303,4.53429689,86.08659433,1998,USA,21
272657000,138687394,133969607,14.2,8.7,12,25.12999916,1.75999999,0.949999988,13.60000038,5,8.58E+12,4.162350663,23300000000,1.15E+11,12889.83228,4.514260299,86.45649442,1997,USA,22
269394000,137090110,132303891,14.4,8.8,12,25.30999947,1.799999952,0.970000029,13.81000042,5.449999809,8.07E+12,3.277919318,30869000000,1.54E+11,12854.29891,4.763930451,85.51006132,1996,USA,23
266278000,135565598,130712402,14.6,8.8,12,25.48999977,1.830000043,0.99000001,14.02000046,5.650000095,7.64E+12,2.293822109,27952000000,1.54E+11,12659.60763,4.726554335,85.46933598,1995,USA,24
263126000,134022320,129103679,15,8.8,12,25.63999939,1.860000014,1.00999999,14.19999981,6.119999886,7.29E+12,3.331105275,22966000000,1.54E+11,12455.16217,4.088641398,85.91212906,1994,USA,25
259919000,132446165,127472835,15.4,8.8,12,25.70999908,1.889999986,1.019999981,14.26000023,6.900000095,6.86E+12,0.693391457,31158000000,1.54E+11,12261.52378,4.281528407,86.11796479,1993,USA,26
256514000,130776318,125737682,15.8,8.5,12,25.82999992,1.909999967,1.039999962,14.39999962,7.5,6.52E+12,2.019930591,31077000000,1.54E+11,12014.95825,4.763083108,85.57482233,1992,USA,27
252981000,129055067,123925933,16.2,8.6,12,25.95999908,1.929999948,1.049999952,14.52000046,6.800000191,6.16E+12,-0.89332935,31586000000,1.54E+11,12134.17213,4.507919594,85.69473785,1991,USA,28
249623000,127417991,122205009,16.7,8.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,5.96E+12,0.045254425,34692000000,1.54E+11,11713.3317,4.175462186,86.43783832,1990,USA,29
246819000,126057113,120761887,16.4,8.8,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,5.64E+12,1.093782095,24790000000,1.54E+11,11531.93231,6.411220802,87.09328724,1989,USA,30
244499000,124936886,119562114,16,8.9,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,5.24E+12,5.081337921,22657000000,1.54E+11,11298.33251,6.411220802,87.07723872,1988,USA,31
242289000,123858168,118430832,15.7,8.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,4.86E+12,2.72987874,17488000000,1.54E+11,10886.85826,6.411220802,87.37781446,1987,USA,32
240133000,122805500,117327500,15.6,8.7,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,4.58E+12,2.53941019,16957000000,1.54E+11,10424.4273,6.411220802,87.65663266,1986,USA,33
237924000,121730704,116193296,15.8,8.7,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,4.34E+12,3.298112179,25365000000,1.54E+11,10414.2079,6.411220802,88.30166868,1985,USA,34
235825000,120706435,115118565,15.6,8.7,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,4.04E+12,7.257574491,36290000000,1.54E+11,10282.37464,6.411220802,88.90104144,1984,USA,35
233792000,119709735,114082266,15.6,8.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,3.63E+12,1.866334192,37085000000,1.54E+11,9742.005714,6.411220802,89.45506708,1983,USA,36
231664000,118652429,113011571,15.9,8.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,3.34E+12,0.518473853,36510000000,1.54E+11,9544.460943,6.411220802,90.0431205,1982,USA,37
229466000,117543211,111922789,15.8,8.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,3.21E+12,2.908428164,32935000000,1.54E+11,9976.693715,6.411220802,90.83194655,1981,USA,38
227225000,116393393,110831607,15.9,8.8,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,2.86E+12,-2.905295493,34185000000,1.54E+11,9862.365497,6.411220802,91.42607196,1980,USA,39
225055000,115257744,109797256,15.6,8.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,2.63E+12,-1.94452549,31931000000,1.54E+11,9700.695386,6.411220802,91.80292616,1979,USA,40
222585000,113947226,108637773,15,8.7,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,2.35E+12,4.170619595,21581000000,1.54E+11,9560.54541,6.411220802,91.74380612,1978,USA,41
220239000,112685891,107553110,15.1,8.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,2.08E+12,2.805463156,20292000000,1.54E+11,9337.724018,6.411220802,92.42230273,1977,USA,42
218035000,111502991,106532009,14.6,8.8,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.87E+12,4.324110914,16847000000,1.54E+11,8968.775655,6.411220802,93.00561548,1976,USA,43
215973000,110396918,105576082,14.6,8.8,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.68E+12,-1.29295712,13004000000,1.54E+11,8522.394003,6.411220802,93.09795311,1975,USA,44
213854000,109264328,104589672,14.8,9.1,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.55E+12,-5.22342059,15520000000,1.54E+11,8449.928456,6.411220802,94.15645425,1974,USA,45
211909000,108229211,103679790,14.8,9.3,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.43E+12,4.348859305,12619000000,1.54E+11,8573.194154,6.411220802,94.97718869,1973,USA,46
209896000,107184351,102711649,15.6,9.4,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.28E+12,4.611828913,8558000000,1.54E+11,8076.409269,6.411220802,95.36675779,1972,USA,47
207661000,106066233,101594767,17.2,9.3,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.16E+12,1.562887016,7594000000,1.54E+11,7517.304646,6.411220802,95.64380715,1971,USA,48
205052000,104782012,100269988,18.4,9.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.07E+12,1.754888569,6393000000,1.54E+11,7236.657043,6.411220802,95.91877125,1970,USA,49
202677000,103581968,99095032,17.9,9.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,1.02E+12,1.754888569,75105591837,1.54E+11,6904.8338,6.411220802,95.85867464,1969,USA,50
200706000,102498871,98207130,17.6,9.8,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,9.43E+11,1.754888569,75105591837,1.54E+11,6385.459329,6.411220802,95.92261327,1968,USA,51
198712000,101301297,97410703,17.8,9.4,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,8.62E+11,1.754888569,75105591837,1.54E+11,5888.340915,6.411220802,95.98216824,1967,USA,52
196560000,99955595,96604406,18.4,9.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,8.15E+11,1.754888569,75105591837,1.54E+11,5590.33374,6.411220802,95.96449026,1966,USA,53
194303000,98580141,95722859,19.4,9.4,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,7.44E+11,1.754888569,75105591837,1.54E+11,5234.685002,6.411220802,95.86016158,1965,USA,54
191889000,97205992,94683009,21.1,9.4,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,6.86E+11,1.754888569,75105591837,1.54E+11,4970.446456,6.411220802,95.80162112,1964,USA,55
189242000,95764478,93477522,21.7,9.6,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,6.39E+11,1.754888569,75105591837,1.54E+11,4690.486256,6.411220802,95.76931559,1963,USA,56
186538000,94293802,92244198,22.4,9.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,6.05E+11,1.754888569,75105591837,1.54E+11,4433.606021,6.411220802,95.60551397,1962,USA,57
183691000,92747662,90943338,23.3,9.3,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,5.63E+11,1.754888569,75105591837,1.54E+11,4182.175501,6.411220802,95.5667993,1961,USA,58
180671000,91128169,89542830,23.7,9.5,12,22.53285701,1.55071428,0.82714285,11.04214294,5.932857147,5.43E+11,1.754888569,75105591837,1.54E+11,4049.786629,6.411220802,95.52566955,1960,USA,59
,661854076,707149230,17.651,6.644,8,24.95000076,43.33000183,55.52999878,17.28000069,7.650000095,2.70E+12,4.695242383,-28935365554,4.33E+11,334.2488548,32.82,54.65607433,2018,India,60
,654607791,699587889,17.911,6.593,8,24.86000061,43.93000031,56.34999847,17.52000046,7.732999802,2.65E+12,7.152740177,-28673171869,4.39E+11,334.2488548,32.41,54.65607433,2017,India,61
,647012921,691623419,18.514,6.603,8,24.73999977,44.56000137,57.15000153,17.73999977,7.842000008,2.29E+12,6.265537623,-46857856463,3.76E+11,334.2488548,33.02,54.65607433,2016,India,62
,639323292,683543213,18.765,6.67,8,24.54000092,45.25999832,57.93000031,17.95000076,7.914999962,2.10E+12,7.580204425,-24405488070,3.40E+11,334.2488548,33.4,54.65607433,2015,India,63
,631697152,675549357,19.049,6.79,8,24.45000076,45.88999939,58.66999817,18.17000008,7.980999947,2.04E+12,5.694789957,-24112069638,3.42E+11,797.349232,33.85,73.57697909,2014,India,64
,623809180,667322883,19.935,6.96,8,24.37000084,46.5,59.36000061,18.43000031,8.036999702,1.86E+12,4.380128703,-23120564442,3.18E+11,758.1106752,34.85,72.28545864,2013,India,65
,615647779,658839435,20.421,7.118,8,24.36000061,47,59.95999908,18.77000046,8.095000267,1.83E+12,4.706696886,-21460196916,3.08E+11,718.2959462,34.75,72.41907946,2012,India,66
,607376801,650244390,20.945,7.267,8,23.10000038,49.25999832,63.56000137,17.12000084,8.168000221,1.82E+12,3.190149676,-16031217721,3.13E+11,692.779357,35.01,71.4717185,2011,India,67
,599047591,641566029,21.438,7.385,8,21.80999947,51.52000046,66.98000336,15.52999973,8.319000244,1.68E+12,8.520892414,-17955015342,2.85E+11,637.1258442,36.16,71.40469516,2010,India,68
,590747758,632892402,21.934,7.479,8,21.09000015,52.5,67.93000031,15.02999973,8.383999825,1.34E+12,9.387324728,-8009493357,2.25E+11,595.6056558,37.41,71.14349792,2009,India,69
,582492785,624242020,22.276,7.558,8,20.42000008,53.50999832,68.81999969,14.59000015,8.354000092,1.20E+12,0.26986482,-7158169832,2.01E+11,558.4267535,39.37,69.00512159,2008,India,70
,574185530,615506279,22.713,7.642,8,20.09000015,54.11000061,69.58000183,14.32999992,8.536000252,1.22E+12,6.667020556,-5094794676,2.04E+11,538.7865959,41.53,67.88343297,2007,India,71
,565762395,606611392,23.22,7.743,8,19.42000008,55.08000183,70.33999634,13.98999977,8.625,9.40E+11,6.065397472,-7344611543,1.58E+11,506.2225086,43.16,66.80567371,2006,India,72
,557161047,597477666,23.94,7.876,8,18.79999924,56,71.05000305,13.64999962,8.699999809,8.20E+11,6.686875113,-5898774891,1.45E+11,465.1766773,44.16,65.98980361,2005,India,73
,548274218,587990365,24.728,8.04,8,18.26000023,56.77999878,71.76000214,13.21000004,8.531000137,7.09E+11,8.49687689,-4979769339,1.26E+11,448.9720155,44.92,65.58374371,2004,India,74
,539178882,578236241,25.375,8.188,8,17.5,57.75999832,72.51999664,12.69999981,8.359999657,6.08E+11,7.767556471,-4506392470,1.19E+11,428.2132845,45.63,64.51923944,2003,India,75
,529978166,568334873,26.082,8.363,8,16.92000008,58.59999847,73.19000244,12.26000023,8.102000237,5.15E+11,3.103021866,-3447912556,1.01E+11,408.7769006,45.75,64.32920579,2002,India,76
,520679574,558291332,26.728,8.558,8,16.62999916,59.09999847,73.80000305,11.94999981,7.956999779,4.85E+11,-0.764543252,-4207692437,1.05E+11,392.3609036,47.11,63.64796634,2001,India,77
,511410095,548223581,27.001,8.701,8,16.31999969,59.65000153,74.38999939,11.64999962,7.769999981,4.68E+11,3.602307044,-4975977061,1.01E+11,392.5101757,46.88,63.72739451,2000,India,78
,502255693,538244360,27.26,8.875,8,16.18000031,60.09000015,74.61000061,11.63000011,7.709000111,4.59E+11,0.649858793,-3560928781,1.05E+11,391.1196337,51.7172937,63.46040016,1999,India,79
,493147162,528287413,27.784,9.05,8,15.89000034,60.72000122,74.79000092,11.59000015,7.486999989,4.21E+11,5.241396284,-3558539496,1.02E+11,385.1269668,52.71225571,62.01581767,1998,India,80
,484031612,518303618,28.274,9.229,8,15.77000046,61.11999893,74.98000336,11.61999989,7.278999805,4.16E+11,1.275731864,-3553714782,1.01E+11,374.9474116,52.4880731,61.77329025,1997,India,81
,474932057,508349160,28.786,9.419,8,15.77000046,61.34999847,75.15000153,11.68999958,7.181000233,3.93E+11,10.22487777,-3684987381,99007331221,359.4810859,53.7674097,60.8251558,1996,India,82
,465846665,498432465,29.361,9.612,8,15.60000038,61.75999832,75.30000305,11.68999958,7.013999939,3.60E+11,2.689069513,-4029621483,88116130762,358.6295603,54.484117,59.98794193,1995,India,83
,456726553,488535405,29.841,9.807,8,15.43000031,62.18000031,75.45999908,11.64999962,6.829999924,3.27E+11,3.606748262,-4166865726,86793280450,341.3540525,55.55718746,58.01455003,1994,India,84
,447615320,478735976,30.285,10.021,8,15.27000046,62.65999985,75.72000122,11.59000015,6.797999859,2.79E+11,7.437916492,-3851512707,75562306674,320.9149714,56.98336334,56.95683361,1993,India,85
,438527953,469046096,30.914,10.23,8,15.23999977,62.99000168,75.95999908,11.60000038,6.815000057,2.88E+11,1.934276697,-4409097621,77519189362,305.0131285,57.23056748,56.07028245,1992,India,86
,429478264,459463492,31.423,10.455,8,15.18000031,63.31999969,76.16999817,11.59000015,6.736999989,2.70E+11,-2.96977777,-4109941024,74718445021,291.6625282,57.60479334,55.0634924,1991,India,87
,420468106,449984059,31.816,10.691,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,3.21E+11,5.515373597,-4203693902,88541705380,272.9466472,58.65285835,53.76395973,1990,India,88
,411461378,440551295,32.549,10.956,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.96E+11,4.38955707,-3439480507,82417024628,258.0419364,44.59958342,52.81420226,1989,India,89
,402535292,431194389,33.166,11.236,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.97E+11,5.963609943,-3105680162,85328126975,241.1021277,44.59958342,51.24904856,1988,India,90
,393755601,421960524,33.681,11.522,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.79E+11,4.298219127,-2019508810,78052330009,221.291445,44.59958342,49.68344915,1987,India,91
,385067312,412811682,34.483,11.82,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.49E+11,2.219279907,-1411645094,71312442744,209.0442303,44.59958342,48.25300177,1986,India,92
,376475662,403766421,34.602,12.102,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.33E+11,0.288581722,-1167731708,69098201552,194.5562834,44.59958342,47.22557302,1985,India,93
,368029660,394865497,35.094,12.412,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.12E+11,-0.427038265,-1197967493,66576379194,184.2481223,44.59958342,45.17457373,1984,India,94
,359724278,386102269,35.3,12.72,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.18E+11,9.070177794,-915429447,71167764303,166.4877721,44.59958342,43.85183637,1983,India,95
,351626946,377542519,35.605,13.044,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,2.01E+11,-0.645683117,-658475535.7,64884682624,158.7655619,44.59958342,43.0251332,1982,India,96
,343719452,369149846,36.024,13.37,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.93E+11,-4.764613217,44795842.95,64427917862,152.4150364,44.59958342,41.41914116,1981,India,97
,335953058,360875327,36.214,13.676,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.86E+11,9.474877114,437107237,64112441680,142.1397322,44.59958342,39.38335072,1980,India,98
,328422054,352826329,36.252,13.965,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.53E+11,-6.399024279,189440840,50220321244,136.0898643,44.59958342,38.70258161,1979,India,99
,321198151,345069608,36.383,14.288,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.37E+11,4.596530205,-190100168.2,47058252018,136.1689781,44.59958342,37.21770194,1978,India,100
,314189303,337496325,36.89,14.662,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.21E+11,4.046836719,-272116788.3,43464694625,126.3968338,44.59958342,38.22397866,1977,India,101
,307373867,330077580,37.665,15.009,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,1.03E+11,5.094118513,-260675967.5,35244351181,124.1584755,44.59958342,37.85033548,1976,India,102
,300723268,322800952,37.937,15.381,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,98472796457,4.797099611,-294681859.2,35447168682,114.4815194,44.59958342,36.9354604,1975,India,103
,294137889,315584063,38.629,15.786,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,99525899116,-9.397654685,-364862831.6,38693737483,103.8358548,44.59958342,36.46745679,1974,India,104
,287642024,308465459,38.962,16.27,8,19.39142878,54.87607125,68.8217862,14.16142862,7.818178569,85515269585,5.16801577,-413328246.2,35577622782,100.4063893,44.59958342,35.31958299,1973,India,105
